id	ref	cat2	cat3	slug
2909	HER CS13 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-13-pouces
2910	HER CS14 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-14-pouces
2911	HER CS15 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-15-pouces
2912	HER CS16 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-16-pouces
2913	HER CS18 06	instruments-peaux	peaux-de-rechange	peau-remo-cs-pour-tom-18-pouces
2914	HER DS10 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-10-pouces
2915	HER DS12 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-12-pouces
2916	HER DS13 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-13-pouces
2917	HER DS14 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-14-pouces
2918	HER DS14T06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-timbre-pour-tom-14-pouces
2919	HER DS15 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-15-pouces
2920	HER DS16 06	instruments-peaux	peaux-de-rechange	peau-remo-diplomat-pour-tom-16-pouces
2924	HER FI11 06	instruments-peaux	peaux-de-rechange	peau-remo-fiberskin-pour-tom-11-pouces
2928	HER FI32 06	instruments-peaux	peaux-de-rechange	peau-remo-fiberskin-pour-grosse-caisse-32-pouces
2929	HER FI36 06	instruments-peaux	peaux-de-rechange	peau-remo-fiberskin-pour-grosse-caisse-36-pouces
2930	HER FI40 06	instruments-peaux	peaux-de-rechange	peau-remo-fiberskin-pour-grosse-caisse-40-pouces
2932	HER PS06 06	instruments-peaux	peaux-de-rechange	peau-remo-pinstripe-ps-pour-tom-6-pouces
